19,15
text_database, instanceof  , text_error  , is          , text_record , is          , text_document, is          , text_python , is          , text_java   , is          , text_xorgate, is          , text_chip   , is          , text_bug    , is          , text_flag
is          , wire        , is          , wire        , is          , wire        , is          , wire        , is          , wire        , is          , wire        , is          , wire        , is          , wire        , is          , wire        , facing
you         , wire        , .           , wire        , .           , wire        , .           , wire        , .           , wire        , .           , wire        , .           , wire        , .           , wire        , .           , wire        , text_water
wire        , wire        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , wire        , is
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , wire        , win
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , wire        , wire
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .
.           , .           , sink        , .           , text_water  , .           , text_bug    , .           , you         , .           , you         , .           , move        , .           , move        , .           , move        , .           , .
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .
.           , .           , defeat      , .           , hot         , .           , melt        , .           , stop        , .           , stop        , .           , and         , .           , has         , .           , has         , .           , .
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .
.           , .           , .           , .           , .           , .           , .           , .           , .           , database    , .           , .           , .           , .           , .           , .           , .           , .           , .
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , wire        , text_database, wire        , wire
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , wire        , .           , extend      , text_error
text_wire   , is          , stop        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , wire        , wire        , wire        , wire
