21,21
text_flag   , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , text_java   , near        , text_git    , is          , you
is          , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .
win         , .           , flag        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , flag        , .           , .
.           , .           , .           , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , .           , .           , .
.           , .           , .           , wire        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , wire        , .           , .           , .
.           , .           , .           , wire        , .           , .           , .           , .           , .           , .           , .           , git         , .           , .           , .           , .           , .           , wire        , .           , .           , .
.           , .           , .           , wire        , .           , .           , .           , text_git    , is          , push        , .           , .           , .           , .           , .           , .           , .           , wire        , .           , .           , .
.           , .           , .           , wire        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , wire        , .           , .           , .
.           , .           , .           , wire        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , wire        , .           , .           , .
.           , .           , .           , wire        , .           , .           , git         , .           , .           , .           , text_java   , .           , .           , .           , .           , .           , .           , wire        , .           , .           , .
.           , .           , .           , wire        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , git         , java        , .           , wire        , .           , .           , .
.           , .           , .           , wire        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , wire        , .           , .           , .
.           , .           , .           , wire        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , wire        , .           , .           , .
.           , .           , .           , wire        , .           , .           , .           , git         , .           , .           , .           , .           , text_git    , .           , .           , .           , .           , wire        , .           , .           , .
.           , .           , .           , wire        , .           , .           , .           , .           , facing      , .           , .           , .           , .           , .           , .           , .           , .           , wire        , .           , .           , .
.           , .           , .           , wire        , .           , .           , .           , .           , .           , .           , .           , git         , .           , .           , .           , .           , .           , wire        , .           , .           , .
.           , .           , .           , wire        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , wire        , .           , .           , .
.           , .           , .           , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , .           , .           , .
text_java   , .           , flag        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , flag        , .           , text_wire
is          , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , is
sink        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , defeat
