20,18
bug-UP      , bug-LEFT    , bug-UP      , bug-RIGHT   , .           , flag        , .           , .           , .           , .           , bug-LEFT    , bug-LEFT    , bug-UP      , bug-RIGHT   , bug-LEFT    , bug-RIGHT   , bug-LEFT    , bug-DOWN    , bug-UP      , bug-DOWN
bug-LEFT    , bug-UP      , bug-RIGHT   , .           , .           , .           , .           , .           , .           , .           , .           , .           , bug-UP      , bug-DOWN    , bug-UP      , bug-RIGHT   , bug-RIGHT   , bug-LEFT    , bug-DOWN    , bug-RIGHT
bug-RIGHT   , bug-RIGHT   , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , bug-LEFT    , bug-UP      , bug-RIGHT   , bug-DOWN    , bug-UP      , bug-DOWN    , .
bug-DOWN    , .           , .           , java        , java        , java        , java        , java        , java        , java        , java        , java        , .           , .           , bug-LEFT    , bug-DOWN    , bug-RIGHT   , bug-DOWN    , .           , .
bug-DOWN    , .           , .           , java        , .           , .           , .           , .           , .           , .           , .           , java        , .           , .           , .           , .           , .           , .           , .           , .
bug-UP      , .           , .           , java        , .           , text_wire   , .           , .           , .           , .           , .           , java        , .           , .           , .           , .           , .           , .           , .           , .
.           , .           , .           , java        , .           , .           , .           , .           , .           , .           , .           , java        , java        , java        , java        , java        , java        , java        , .           , .
.           , .           , .           , java        , .           , .           , .           , .           , .           , is          , .           , java        , .           , .           , .           , .           , .           , java        , .           , .
.           , flag        , .           , java        , .           , .           , win         , .           , .           , .           , .           , java        , .           , text_java   , .           , .           , .           , java        , .           , .
.           , .           , .           , java        , .           , .           , .           , .           , .           , .           , .           , java        , .           , is          , .           , tile        , .           , java        , .           , .
.           , .           , .           , java        , java        , java        , java        , java        , java        , java        , java        , java        , .           , stop        , .           , .           , .           , java        , .           , .
.           , .           , .           , .           , .           , .           , .           , java        , water       , water       , water       , java        , .           , .           , .           , .           , .           , java        , .           , .
.           , .           , .           , .           , .           , text_tile   , .           , java        , water       , water       , water       , java        , java        , java        , java        , java        , java        , java        , .           , .
.           , .           , .           , .           , .           , is          , .           , java        , water       , water       , water       , java        , .           , .           , .           , .           , .           , .           , .           , .
.           , .           , .           , .           , .           , you         , .           , java        , java        , java        , java        , java        , .           , .           , .           , .           , .           , .           , bug-DOWN    , .
bug-DOWN    , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , flag        , .           , .           , .           , .           , bug-DOWN    , bug-DOWN
bug-UP      , bug-LEFT    , bug-RIGHT   , bug-UP      , bug-DOWN    , bug-UP      , bug-DOWN    , bug-RIGHT   , .           , .           , .           , .           , .           , .           , .           , bug-DOWN    , bug-UP      , bug-RIGHT   , bug-DOWN    , bug-UP
bug-LEFT    , bug-DOWN    , bug-RIGHT   , bug-UP      , bug-LEFT    , bug-UP      , bug-UP      , bug-DOWN    , bug-DOWN    , bug-UP      , bug-DOWN    , bug-RIGHT   , bug-LEFT    , bug-UP      , bug-RIGHT   , bug-RIGHT   , bug-UP      , bug-DOWN    , bug-LEFT    , bug-LEFT
